"0,-3.0,0"
"134.080,97.617,0.500"
"117.617,114.080,0.500"
"118.183,114.080,0.500"
"134.080,98.183,0.500"
"134.080,98.748,0.500"
"118.748,114.080,0.500"
"119.314,114.080,0.500"
"134.080,99.314,0.500"
"134.080,99.880,0.500"
"119.880,114.080,0.500"
"120.446,114.080,0.500"
"134.080,100.446,0.500"
"134.080,101.011,0.500"
"121.011,114.080,0.500"
"121.577,114.080,0.500"
"134.080,101.577,0.500"
"134.080,102.143,0.500"
"122.143,114.080,0.500"
"122.708,114.080,0.500"
"134.080,102.708,0.500"
"134.080,103.274,0.500"
"123.274,114.080,0.500"
"123.840,114.080,0.500"
"134.080,103.840,0.500"
"134.080,104.405,0.500"
"124.405,114.080,0.500"
"124.971,114.080,0.500"
"134.080,104.971,0.500"
"134.080,105.537,0.500"
"125.537,114.080,0.500"
"126.102,114.080,0.500"
"134.080,106.102,0.500"
"134.080,106.668,0.500"
"126.668,114.080,0.500"
"127.234,114.080,0.500"
"134.080,107.234,0.500"
"134.080,107.799,0.500"
"127.799,114.080,0.500"
"128.365,114.080,0.500"
"134.080,108.365,0.500"
"134.080,108.931,0.500"
"128.931,114.080,0.500"
"129.496,114.080,0.500"
"134.080,109.496,0.500"
"134.080,110.062,0.500"
"130.062,114.080,0.500"
"130.628,114.080,0.500"
"134.080,110.628,0.500"
"134.080,111.194,0.500"
"131.194,114.080,0.500"
"131.759,114.080,0.500"
"134.080,111.759,0.500"
"134.080,112.325,0.500"
"132.325,114.080,0.500"
"132.891,114.080,0.500"
"134.080,112.891,0.500"
"134.080,113.456,0.500"
"133.456,114.080,0.500"
"133.904,114.080,0.500"
"134.022,114.080,0.500"
"134.080,114.022,0.500"
"134.400,114.400,0.700"
"115.600,114.400,0.700"
"115.600,95.600,0.700"
"134.400,95.600,0.700"
"134.400,114.200,0.700"
"134.400,114.400,0.700"
"134.800,114.800,0.700"
"115.200,114.800,0.700"
"115.200,95.200,0.700"
"134.800,95.200,0.700"
"134.800,114.600,0.700"
"134.800,114.800,0.700"
"132.800,114.800,0.700"
"115.978,114.080,0.700"
"115.920,114.022,0.700"
"115.920,113.456,0.700"
"116.544,114.080,0.700"
"117.109,114.080,0.700"
"115.920,112.891,0.700"
"115.920,112.325,0.700"
"117.675,114.080,0.700"
"118.241,114.080,0.700"
"115.920,111.759,0.700"
"115.920,111.193,0.700"
"118.807,114.080,0.700"
"119.372,114.080,0.700"
"115.920,110.628,0.700"
"115.920,110.062,0.700"
"119.938,114.080,0.700"
"120.504,114.080,0.700"
"115.920,109.496,0.700"
"115.920,108.931,0.700"
"121.069,114.080,0.700"
"121.635,114.080,0.700"
"115.920,108.365,0.700"
"115.920,107.799,0.700"
"122.201,114.080,0.700"
"122.766,114.080,0.700"
"115.920,107.234,0.700"
"115.920,106.668,0.700"
"123.332,114.080,0.700"
"123.898,114.080,0.700"
"115.920,106.102,0.700"
"115.920,105.537,0.700"
"124.463,114.080,0.700"
"125.029,114.080,0.700"
"115.920,104.971,0.700"
"115.920,104.405,0.700"
"125.595,114.080,0.700"
"126.160,114.080,0.700"
"115.920,103.840,0.700"
"115.920,103.274,0.700"
"126.726,114.080,0.700"
"127.292,114.080,0.700"
"115.920,102.708,0.700"
"115.920,102.143,0.700"
"127.857,114.080,0.700"
"128.423,114.080,0.700"
"115.920,101.577,0.700"
"115.920,101.011,0.700"
"128.989,114.080,0.700"
"129.555,114.080,0.700"
"115.920,100.445,0.700"
"115.920,99.880,0.700"
"130.120,114.080,0.700"
"130.686,114.080,0.700"
"115.920,99.314,0.700"
"115.920,98.748,0.700"
"131.252,114.080,0.700"
"131.817,114.080,0.700"
"115.920,98.183,0.700"
"115.920,97.617,0.700"
"132.383,114.080,0.700"
"132.949,114.080,0.700"
"115.920,97.051,0.700"
"115.920,96.486,0.700"
"133.514,114.080,0.700"
"134.080,114.080,0.700"
"115.920,95.920,0.700"
"116.486,95.920,0.700"
"134.080,113.514,0.700"
"134.080,112.949,0.700"
"117.051,95.920,0.700"
"117.617,95.920,0.700"
"134.080,112.383,0.700"
"134.080,111.817,0.700"
"118.183,95.920,0.700"
"118.748,95.920,0.700"
"134.080,111.252,0.700"
"134.080,110.686,0.700"
"119.314,95.920,0.700"
"119.880,95.920,0.700"
"134.080,110.120,0.700"
"134.080,109.555,0.700"
"120.445,95.920,0.700"
"121.011,95.920,0.700"
"134.080,108.989,0.700"
"134.080,108.423,0.700"
"121.577,95.920,0.700"
"122.143,95.920,0.700"
"134.080,107.857,0.700"
"134.080,107.292,0.700"
"122.708,95.920,0.700"
"123.274,95.920,0.700"
"134.080,106.726,0.700"
"134.080,106.160,0.700"
"123.840,95.920,0.700"
"124.405,95.920,0.700"
"134.080,105.595,0.700"
"134.080,105.029,0.700"
"124.971,95.920,0.700"
"125.537,95.920,0.700"
"134.080,104.463,0.700"
"134.080,103.898,0.700"
"126.102,95.920,0.700"
"126.668,95.920,0.700"
"134.080,103.332,0.700"
"134.080,102.766,0.700"
"127.234,95.920,0.700"
"127.799,95.920,0.700"
"134.080,102.201,0.700"
"134.080,101.635,0.700"
"128.365,95.920,0.700"
"128.931,95.920,0.700"
"134.080,101.069,0.700"
"134.080,100.504,0.700"
"129.496,95.920,0.700"
"130.062,95.920,0.700"
"134.080,99.938,0.700"
"134.080,99.372,0.700"
"130.628,95.920,0.700"
"131.194,95.920,0.700"
"134.080,98.806,0.700"
"134.080,98.241,0.700"
